Date,Open,High,Low,Close,Adj Close,Volume
2020-09-29,1.374533,1.374533,0.000232,1.117862,1.117862,0
2020-09-30,1.115781,1.115977,0.435865,0.436443,0.436443,6704237
2020-10-01,0.435000,0.538305,0.322736,0.415366,0.415366,4444223
2020-10-02,0.415188,0.551662,0.415188,0.506049,0.506049,3022650
2020-10-03,0.506091,0.721180,0.486243,0.666428,0.666428,5491573
2020-10-04,0.663841,0.693460,0.523043,0.553208,0.553208,3357916
2020-10-05,0.553208,0.554473,0.459442,0.459475,0.459475,1640031
2020-10-06,0.458480,0.551754,0.428900,0.498403,0.498403,3293826
2020-10-07,0.498810,0.569445,0.476623,0.541545,0.541545,1848695
2020-10-08,0.541661,0.576236,0.510725,0.565417,0.565417,2068536
2020-10-09,0.565417,0.719705,0.565417,0.694640,0.694640,3830462
2020-10-10,0.703928,0.878646,0.648330,0.789156,0.789156,6304081
2020-10-11,0.789104,0.943813,0.750946,0.942332,0.942332,4464543
2020-10-12,0.942333,1.174338,0.911649,1.109943,1.109943,8643384
2020-10-13,1.115521,1.147441,0.822690,0.845009,0.845009,11452877
2020-10-14,0.846947,0.949941,0.741826,0.889186,0.889186,7619517
2020-10-15,0.889214,0.916459,0.801206,0.880911,0.880911,4465895
2020-10-16,0.880889,0.924716,0.799957,0.813258,0.813258,4244192
2020-10-17,0.813258,0.821151,0.608632,0.608648,0.608648,3314454
2020-10-18,0.608575,0.628710,0.533637,0.610286,0.610286,3624614
2020-10-19,0.610286,0.736735,0.570393,0.610650,0.610650,3474701
2020-10-20,0.610651,0.648889,0.565066,0.619787,0.619787,3139394
2020-10-21,0.619916,0.637697,0.566803,0.576505,0.576505,3791404
2020-10-22,0.576505,0.640501,0.575538,0.613140,0.613140,2954702
2020-10-23,0.613108,0.663195,0.600797,0.657180,0.657180,3757709
2020-10-24,0.657167,0.659926,0.581384,0.586126,0.586126,2665091
2020-10-25,0.586123,0.590252,0.481017,0.484323,0.484323,4156325
2020-10-26,0.484319,0.484488,0.328158,0.440314,0.440314,7268615
2020-10-27,0.440324,0.525532,0.436739,0.450007,0.450007,3892630
2020-10-28,0.450001,0.450001,0.371582,0.403638,0.403638,3376056
2020-10-29,0.403629,0.465708,0.400817,0.410390,0.410390,2505692
2020-10-30,0.410386,0.425452,0.354077,0.398318,0.398318,2230014
2020-10-31,0.398321,0.419524,0.389787,0.397758,0.397758,1045710
2020-11-01,0.397754,0.398984,0.360796,0.365432,0.365432,1008081
2020-11-02,0.365438,0.384332,0.313068,0.324881,0.324881,2586877
2020-11-03,0.324889,0.324889,0.198003,0.281329,0.281329,5341227
2020-11-04,0.281332,0.295206,0.249216,0.283869,0.283869,1622014
2020-11-05,0.283874,0.290323,0.223491,0.280023,0.280023,363095
2020-11-06,0.280021,0.331910,0.278143,0.295154,0.295154,404463
2020-11-07,0.295155,0.316949,0.248773,0.260400,0.260400,377904
2020-11-08,0.260402,0.263039,0.243439,0.250414,0.250414,181213
2020-11-09,0.250420,0.250489,0.205724,0.222772,0.222772,555978
2020-11-10,0.222766,0.250363,0.210187,0.236896,0.236896,320819
2020-11-11,0.236887,0.260491,0.232252,0.232370,0.232370,337060
2020-11-12,0.232369,0.258281,0.224063,0.231867,0.231867,361361
2020-11-13,0.231877,0.276504,0.230175,0.265788,0.265788,693224
2020-11-14,0.265787,0.265788,0.243774,0.259194,0.259194,436856
2020-11-15,0.259201,0.288569,0.257578,0.271065,0.271065,544394
2020-11-16,0.271065,0.323457,0.263253,0.297890,0.297890,1133390
2020-11-17,0.318389,0.361511,0.311625,0.357296,0.357296,1413538
2020-11-18,0.357305,0.372119,0.294920,0.312130,0.312130,893822
2020-11-19,0.312149,0.364701,0.307863,0.345190,0.345190,822031
2020-11-20,0.345185,0.389010,0.312703,0.342145,0.342145,1068053
2020-11-21,0.342135,0.360360,0.333837,0.339976,0.339976,478970
2020-11-22,0.339980,0.348542,0.308006,0.332849,0.332849,448415
2020-11-23,0.332837,0.336951,0.306802,0.322300,0.322300,362520
2020-11-24,0.323521,0.342920,0.306850,0.321772,0.321772,354204
2020-11-25,0.321853,0.338290,0.292126,0.301515,0.301515,233424
2020-11-26,0.300946,0.311171,0.258013,0.283675,0.283675,384331
2020-11-27,0.283587,0.335933,0.279817,0.334042,0.334042,600723
2020-11-28,0.334050,0.348731,0.317194,0.328289,0.328289,472896
2020-11-29,0.328287,0.359229,0.314114,0.338810,0.338810,415901
2020-11-30,0.338803,0.354867,0.328067,0.349490,0.349490,369411
2020-12-01,0.349463,0.367041,0.331428,0.356201,0.356201,498913
2020-12-02,0.356105,0.377015,0.352142,0.368302,0.368302,510077
2020-12-03,0.368328,0.411331,0.364323,0.409415,0.409415,758617
2020-12-04,0.409276,0.447551,0.391432,0.424034,0.424034,808674
2020-12-05,0.424006,0.524775,0.410236,0.501390,0.501390,924523
2020-12-06,0.501286,0.571063,0.454312,0.472847,0.472847,1751219
2020-12-07,0.472894,0.520370,0.472110,0.509354,0.509354,674050
2020-12-08,0.507877,0.545670,0.470818,0.484766,0.484766,941517
2020-12-09,0.484900,0.484900,0.441092,0.459980,0.459980,562313
2020-12-10,0.459994,0.470986,0.432339,0.435908,0.435908,427609
2020-12-11,0.435879,0.459748,0.405788,0.453233,0.453233,611700
2020-12-12,0.453298,0.494811,0.453010,0.489055,0.489055,497554
2020-12-13,0.489077,0.492279,0.468250,0.480070,0.480070,359197
2020-12-14,0.479336,0.488071,0.413511,0.448605,0.448605,988971
2020-12-15,0.448555,0.456299,0.414014,0.429354,0.429354,454087
2020-12-16,0.429355,0.457922,0.419691,0.456240,0.456240,397326
2020-12-17,0.456279,0.461263,0.408447,0.423157,0.423157,667825
2020-12-18,0.423124,0.448314,0.408862,0.447778,0.447778,443014
2020-12-19,0.447863,0.465142,0.437120,0.437120,0.437120,417280
2020-12-20,0.434231,0.508291,0.430092,0.469215,0.469215,1222858
2020-12-21,0.469123,0.512285,0.400932,0.476475,0.476475,960526
2020-12-22,0.475586,0.507503,0.458585,0.504608,0.504608,951133
2020-12-23,0.504730,0.518206,0.439813,0.450991,0.450991,781374
2020-12-24,0.450883,0.484091,0.430223,0.481528,0.481528,437134
2020-12-25,0.481590,0.498743,0.424916,0.497307,0.497307,469717
2020-12-26,0.497345,0.504745,0.475848,0.487461,0.487461,410725
2020-12-27,0.487473,0.514712,0.469853,0.488457,0.488457,1266603
2020-12-28,0.487399,0.542440,0.479665,0.535967,0.535967,1342225
2020-12-29,0.536077,0.568324,0.506521,0.564739,0.564739,1987434
2020-12-30,0.564923,0.603555,0.546331,0.601828,0.601828,1044087
2020-12-31,0.601883,0.628780,0.576516,0.624024,0.624024,784059
2021-01-01,0.623763,0.675977,0.610970,0.662068,0.662068,937023
2021-01-02,0.661411,0.661513,0.587123,0.616939,0.616939,1005951
2021-01-03,0.616901,0.668768,0.601696,0.633083,0.633083,899334
